,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Fuel_Tank_Capacity,Fuel_Type,Height,Mileage,Length,Width,Body_Type,Doors,Kerb_Weight,Gears,Power,Speedometer,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Audiosystem,Basic_Warranty,Bluetooth,CD_/_MP3_/_DVD_Player,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Airbags,Parking_Assistance,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
42,Datsun,Go,T Cvt,594464,1198.0,3.0,4.0,35.0,Petrol,1507.0,,3788,1636.0,Hatchback,5.0,864.0,5,78,Analog,5.0,Fabric,Manual,2450.0,155/70R13,USB & Aux-in,2,,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,15079,17396,22958,27935,34335,39145,38841,28775,26994,23030,27721,26633,24398,21098,19805,15652,8405,3665,2302,1492
43,Datsun,Go,T (O) Cvt,618015,1198.0,3.0,4.0,35.0,Petrol,1507.0,,3788,1636.0,Hatchback,5.0,864.0,5,78,Analog,5.0,Fabric,Manual,2450.0,155/70R13,USB & Aux-in,2,,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,8903,13013,12026,19667,23312,17375,18080,17454,15506,15958,15510,16367,21339,21935,20218,15501,13587,9607,5688,2298
44,Maruti Suzuki,Celerio Tour,H2,422444,998.0,3.0,4.0,35.0,Petrol,1560.0,,3600,1600.0,Hatchback,5.0,830.0,5,68,Analog,5.0,Fabric,Manual,2425.0,155/80R13,Not on offer,2,,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",0,5155,9572,9063,10868,7766,9925,10778,11108,10098,9864,11067,7039,4942,1468,0,0,0,0,0,0
45,Maruti Suzuki,Celerio Tour,H2 Cng,480670,998.0,3.0,4.0,60.0,CNG,1560.0,,3695,1600.0,Hatchback,5.0,915.0,5,59,Analog,5.0,Fabric,Manual,2425.0,165/70R14,Not on offer,2,,,,,,"Driver frontal airbag, Front passenger frontal airbag",0,4069,9843,8392,8973,13552,11745,11514,11637,9551,8334,8049,5368,8408,9253,5845,4082,2537,1576,1165,611
46,Hyundai,Santro,Era Mt,429990,1086.0,4.0,4.0,35.0,Petrol,1560.0,,3610,1645.0,Hatchback,4.0,,5,69,Analog,5.0,Fabric,Manual,2400.0,,Not on offer,,,,,,Yes,Driver frontal airbag,0,729,1572,1417,1489,2262,1982,1909,1981,1424,1848,144,0,0,0,0,0,0,0,0,0
47,Hyundai,Santro,Magna Mt,503990,1086.0,4.0,4.0,35.0,Petrol,1560.0,,3610,1645.0,Hatchback,4.0,,5,69,Analog,5.0,Fabric,Manual,2400.0,,Not on offer,,,,,,Yes,Driver frontal airbag,0,404,758,928,572,707,835,879,777,818,913,588,472,878,748,535,552,378,174,100,92
48,Hyundai,Santro,Magna Mt Cng,547990,1086.0,4.0,4.0,35.0,CNG,1560.0,,3610,1645.0,Hatchback,4.0,,5,59,Digital,5.0,Fabric,Manual,2400.0,,Not on offer,,,,,,Yes,Driver frontal airbag,0,0,0,0,0,0,0,0,0,0,1,0,225,561,632,430,0,1,0,2,0
49,Hyundai,Santro,Magna Amt,530990,1086.0,4.0,4.0,35.0,Petrol,1560.0,,3610,1645.0,Hatchback,4.0,,5,69,Analog,5.0,Fabric,AMT,2400.0,155/80 R13,CD Player with USB & Aux-in,,Yes,Yes,,,Yes,Driver frontal airbag,0,5858,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Hyundai,Santro,Sportz Mt,512990,1086.0,4.0,4.0,35.0,Petrol,1560.0,,3610,1645.0,Hatchback,4.0,,5,69,Analog,5.0,Fabric,Manual,2400.0,165/70 R14,CD/MP3/DVD Player with USB & Aux-in,,Yes,Yes,,,Yes,Driver frontal airbag,0,14817,15487,14253,11645,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Hyundai,Santro,Sportz Mt Cng,578990,1086.0,4.0,4.0,60.0,CNG,1560.0,,3610,1645.0,Hatchback,4.0,,5,59,Analog,5.0,Fabric,Manual,2400.0,165/70 R14,CD Player with USB & Aux-in,,Yes,Yes,,,Yes,Driver frontal airbag,0,12674,13987,12550,15598,16640,14277,13855,12025,6833,481,0,0,0,0,0,0,0,0,0,0
