2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
0,0,0,0,0,0,0,0,0,1,2,13,285,447,246,208,0,0,0,0
0,0,0,1,0,1,549,1069,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,58,52,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,1,0,0,2,624,592,1106,1812,1510,162,0,0,0,0
0,0,0,0,0,1,46,154,163,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,28,247,553,606,900,172,0,0
0,0,0,0,0,0,7,45,533,190,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,479,324,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,15,74,68,83
0,0,0,0,0,0,0,0,0,0,0,2,158,969,998,828,679,613,348,278
0,0,0,0,0,0,0,0,0,0,3,495,437,154,0,2,1,1,4,6
1,0,0,0,0,0,1,0,371,515,490,679,1457,1806,2545,1968,1058,804,383,296
0,0,0,0,0,122,1322,1744,1810,280,0,0,0,0,0,0,0,0,0,0
1701,3485,2393,2173,3224,3354,3672,4182,4226,3289,3470,5581,3023,2671,3184,3352,3898,3382,2050,977
3734,5272,6950,8700,18096,17960,13565,14089,14000,14241,13849,13160,12482,9916,6788,1067,0,0,0,0
0,0,0,0,0,0,0,0,0,2,370,3201,3183,4173,3995,4252,3772,448,0,0
12166,22544,24099,19398,11003,12819,14612,14408,16345,17470,21664,12376,7871,9758,9398,9608,8685,7594,2861,1
3524,8814,12323,15888,25948,29255,22378,13689,10971,10606,11256,11798,17460,15454,5431,3411,115,0,0,1
5086,6499,22,0,103,210,246,396,472,830,1918,3385,2427,923,1080,844,999,973,772,280
0,0,0,0,0,0,0,0,5,3,36,81,79,147,76,3,0,0,0,0
0,0,0,0,0,0,1,0,0,0,47,203,350,528,510,433,287,146,1,0
0,0,0,0,0,0,0,0,17,38,542,677,901,347,0,0,0,0,0,0
0,1,0,6,22,1,3,52,85,36,0,0,0,0,0,0,0,0,0,0
1,93,22,86,112,284,342,243,184,151,249,254,169,96,84,67,22,7,9,0
0,0,0,0,18,8557,18543,18843,15543,10242,4662,2,0,0,0,0,0,0,0,0
0,0,1,0,11,1140,2369,3903,2618,1315,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,403,1093,1892,1233,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,13,345,562,971,1241,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,1539,2033,2070
229,717,895,419,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,131
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
0,0,0,0,0,1,0,1,0,1,1703,3538,5285,10704,12569,9813,9068,6125,4558,2902
0,0,0,0,0,0,0,0,0,0,0,6,1,10,0,4,0,0,0,0
8264,14571,8538,6276,7097,5994,5944,6910,10,1,0,0,0,0,0,0,0,0,0,0
794,2284,1783,2271,2824,3192,2270,462,0,0,0,0,0,0,0,0,0,0,0,0
9344,12748,12542,14937,15091,15371,13608,7906,18,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,758,517,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,178,0,0,0
