,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Fuel_Tank_Capacity,Fuel_Type,Height,Mileage,Length,Width,Body_Type,Doors,Kerb_Weight,Gears,Power,Speedometer,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Audiosystem,Basic_Warranty,Bluetooth,CD_/_MP3_/_DVD_Player,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Airbags,Parking_Assistance,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
22,30.0,69.0,209.0,462190.0,999.0,3.0,4.0,28.0,5.0,1490.0,744.9869706840391,3731.0,1579.0,3.0,5.0,669.0,1.0,13.0,2.0,5.0,0.0,4.0,2422.0,14.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,51.0,1.0,524.0,564.0,834.0,1486.0,2763.0,3019.0,3206.0,3242.0,3721.0,6026.0,2084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,30.0,69.0,208.0,492190.0,999.0,3.0,4.0,28.0,5.0,1490.0,744.9869706840391,3731.0,1579.0,3.0,5.0,669.0,7.0,13.0,2.0,5.0,0.0,1.0,2422.0,14.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,116.0,174.0,734.0,800.0,480.0,427.0,206.0,0.0,0.0,0.0
24,23.0,46.0,162.0,352136.0,1196.0,4.0,4.0,40.0,5.0,1800.0,13.5,3675.0,1475.0,4.0,5.0,920.0,1.0,18.0,0.0,5.0,0.0,4.0,2350.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,50.0,73.0,118.0,143.0
25,23.0,46.0,171.0,380573.0,1196.0,4.0,4.0,40.0,5.0,1800.0,13.5,3675.0,1475.0,4.0,5.0,940.0,1.0,19.0,0.0,7.0,0.0,4.0,2350.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,1.0,0.0,36.0,378.0,706.0,1444.0,1592.0,1734.0,1801.0,2521.0,3188.0,3977.0,4797.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,23.0,46.0,163.0,392967.0,1196.0,4.0,4.0,40.0,5.0,1800.0,13.0,3675.0,1475.0,4.0,5.0,928.0,1.0,18.0,0.0,5.0,0.0,4.0,2350.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,103.0,114.0,518.0,497.0,9.0,47.0,53.0,62.0,69.0,184.0
27,23.0,46.0,164.0,466057.0,1196.0,4.0,4.0,40.0,0.0,1800.0,744.9869706840391,3675.0,1475.0,4.0,5.0,1050.0,1.0,8.0,0.0,5.0,0.0,4.0,2350.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,1.0,679.0,1159.0,1023.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,23.0,46.0,165.0,425255.0,1196.0,4.0,4.0,40.0,0.0,1800.0,744.9869706840391,3675.0,1475.0,4.0,5.0,1030.0,1.0,8.0,0.0,5.0,0.0,4.0,2350.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,1.0,102.0,149.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,23.0,10.0,344.0,377588.0,998.0,3.0,4.0,35.0,5.0,1475.0,15.5,3545.0,1490.0,3.0,5.0,745.0,1.0,13.0,0.0,5.0,0.0,4.0,2360.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,45.0,61.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,23.0,10.0,539.0,394036.0,998.0,3.0,4.0,35.0,5.0,1475.0,15.5,3545.0,1490.0,3.0,5.0,750.0,1.0,13.0,0.0,5.0,0.0,4.0,2360.0,8.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,41.0,0.0,150.0,326.0,404.0,667.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,23.0,10.0,343.0,360843.0,998.0,3.0,4.0,35.0,5.0,1475.0,1213.0,3545.0,1490.0,3.0,5.0,740.0,1.0,13.0,0.0,5.0,0.0,4.0,2360.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,23.0,10.0,540.0,407238.0,998.0,3.0,4.0,35.0,5.0,1460.0,15.5,3620.0,1475.0,3.0,5.0,755.0,1.0,13.0,0.0,5.0,0.0,4.0,2360.0,8.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,163.0,193.0,234.0
33,23.0,10.0,349.0,439777.0,998.0,3.0,4.0,35.0,0.0,1475.0,744.9869706840391,3545.0,1490.0,3.0,5.0,740.0,1.0,7.0,0.0,5.0,0.0,4.0,2360.0,8.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,41.0,0.0,0.0,0.0,0.0,28.0,140.0,24.0,111.0,149.0,64.0,75.0,158.0,215.0,399.0,550.0,510.0,901.0,225.0,0.0,0.0,0.0
34,23.0,10.0,545.0,438559.0,998.0,3.0,4.0,35.0,5.0,1475.0,15.5,3545.0,1490.0,3.0,5.0,755.0,1.0,13.0,0.0,5.0,0.0,1.0,2360.0,8.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,11.0,159.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,6.0,55.0,229.0,374990.0,1198.0,3.0,4.0,35.0,5.0,1507.0,744.9869706840391,3788.0,1636.0,3.0,5.0,864.0,1.0,13.0,0.0,5.0,0.0,4.0,2450.0,9.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,51.0,1.0,202.0,287.0,52.0,0.0,0.0,0.0,0.0,1.0,100.0,124.0,149.0,151.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
36,6.0,55.0,479.0,468229.0,1198.0,3.0,4.0,35.0,5.0,1507.0,744.9869706840391,3788.0,1636.0,3.0,5.0,864.0,1.0,13.0,0.0,5.0,0.0,4.0,2450.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,51.0,1.0,15.0,38.0,35.0,48.0,46.0,94.0,86.0,97.0,63.0,112.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,6.0,55.0,480.0,502492.0,1198.0,3.0,4.0,35.0,5.0,1507.0,744.9869706840391,3788.0,1636.0,3.0,5.0,864.0,1.0,13.0,0.0,5.0,0.0,4.0,2450.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,51.0,1.0,0.0,37.0,140.0,181.0,134.0,173.0,88.0,6.0,0.0,0.0,0.0,0.0,3.0,49.0,24.0,54.0,6.0,1.0,1.0,0.0
38,6.0,55.0,184.0,499990.0,1198.0,3.0,4.0,35.0,5.0,1507.0,744.9869706840391,3788.0,1636.0,3.0,5.0,864.0,1.0,13.0,0.0,5.0,0.0,4.0,2450.0,9.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,51.0,1.0,191.0,688.0,421.0,243.0,334.0,310.0,301.0,278.0,278.0,241.0,285.0,417.0,526.0,753.0,967.0,90.0,0.0,0.0,1.0,0.0
39,6.0,55.0,183.0,469990.0,1198.0,3.0,4.0,35.0,5.0,1507.0,744.9869706840391,3788.0,1636.0,3.0,5.0,864.0,1.0,13.0,0.0,5.0,0.0,4.0,2450.0,9.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,94.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,6.0,55.0,485.0,528464.0,1198.0,3.0,4.0,35.0,5.0,1507.0,744.9869706840391,3788.0,1636.0,3.0,5.0,864.0,1.0,13.0,0.0,5.0,0.0,4.0,2450.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,51.0,1.0,13292.0,19976.0,19038.0,21212.0,24047.0,22789.0,22709.0,22405.0,18743.0,16721.0,1451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,6.0,55.0,482.0,553015.0,1198.0,3.0,4.0,35.0,5.0,1507.0,744.9869706840391,3788.0,1636.0,3.0,5.0,864.0,1.0,13.0,0.0,5.0,0.0,4.0,2450.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,51.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,2046.0,1877.0,2392.0,1938.0
42,6.0,55.0,484.0,594464.0,1198.0,3.0,4.0,35.0,5.0,1507.0,744.9869706840391,3788.0,1636.0,3.0,5.0,864.0,1.0,23.0,0.0,5.0,0.0,4.0,2450.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,51.0,1.0,15079.0,17396.0,22958.0,27935.0,34335.0,39145.0,38841.0,28775.0,26994.0,23030.0,27721.0,26633.0,24398.0,21098.0,19805.0,15652.0,8405.0,3665.0,2302.0,1492.0
